iter	Passed	Remaining
0	160	160145
1	162	80901
2	163	54375
3	165	41109
4	166	33124
5	167	27768
6	168	23953
7	171	21313
8	173	19083
9	174	17278
10	175	15799
11	176	14561
12	177	13510
13	179	12611
14	180	11849
15	181	11156
16	182	10546
17	183	10003
18	184	9539
19	185	9110
20	187	8718
21	187	8352
22	189	8049
23	191	7772
24	192	7488
25	192	7222
26	193	6977
27	194	6747
28	195	6536
29	196	6338
30	197	6165
31	198	6013
32	199	5859
33	201	5716
34	201	5568
35	202	5430
36	203	5298
37	204	5174
38	205	5054
39	205	4941
40	206	4834
41	207	4732
42	208	4635
43	209	4542
44	209	4454
45	211	4386
46	212	4313
47	213	4239
48	214	4166
49	215	4097
50	216	4028
51	217	3961
52	218	3910
53	220	3855
54	220	3796
55	221	3739
56	222	3684
57	223	3628
58	224	3583
59	226	3541
60	227	3494
61	227	3448
62	228	3402
63	229	3358
64	230	3316
65	231	3274
66	232	3231
67	232	3190
68	233	3150
69	234	3111
70	234	3072
71	235	3034
72	236	2998
73	236	2962
74	237	2927
75	238	2897
76	239	2869
77	240	2842
78	241	2815
79	242	2785
80	242	2755
81	243	2726
82	243	2694
83	244	2667
84	245	2640
85	245	2614
86	246	2588
87	247	2562
88	247	2538
89	248	2513
90	249	2490
91	249	2467
92	250	2444
93	251	2422
94	251	2399
95	253	2382
96	254	2365
97	254	2345
98	255	2325
99	256	2305
100	256	2286
101	257	2267
102	258	2248
103	258	2230
104	259	2212
105	260	2194
106	260	2176
107	261	2159
108	262	2142
109	262	2127
110	263	2111
111	264	2098
112	265	2086
113	267	2076
114	268	2067
115	269	2054
116	270	2041
117	271	2028
118	272	2015
119	272	2001
120	273	1987
121	274	1974
122	275	1961
123	275	1948
124	276	1936
125	277	1923
126	277	1910
127	278	1897
128	279	1886
129	280	1874
130	281	1866
131	282	1860
132	283	1851
133	285	1845
134	286	1837
135	287	1826
136	288	1815
137	288	1804
138	289	1793
139	290	1783
140	290	1772
141	291	1760
142	291	1749
143	292	1739
144	293	1729
145	293	1719
146	294	1709
147	295	1700
148	296	1693
149	297	1685
150	298	1676
151	298	1667
152	299	1658
153	300	1648
154	300	1639
155	301	1630
156	302	1621
157	302	1612
158	303	1604
159	303	1595
